MaxError,CenterFrameRollRate_RotPot,CenterFrameRoll_LVDT,CylinderPressure,Speed,TiltUp,TiltDown,Condition,InletPress,ChassisPitchRate,ChassisRollAngle,ChassisRollRate,ChassisYawRate,RightFront,LeftFront,RightBack,LeftBack
-58,-0.0999999999999996,0.7578125,2039,0.296875,383,410,0,2246,-0.8046875,-1.65223397254635,1.203125,-0.9375,1838,1508,1817,1580
-71,-0.0999999999999996,0.7109375,2033,0.296875,360,0,0,2262,-0.7265625,-1.65432183202999,1.0859375,-0.828125,1840,1500,1814,1581
-71,-0.0999999999999996,0.71875,2033,0.296875,380,0,0,2291,-0.6875,-1.65449132591511,1.2421875,-0.9296875,1847,1514,1821,1589
-71,-0.0999999999999996,0.7421875,2027,0.28125,396,0,0,2303,-0.6171875,-1.65417559436045,1.1640625,-0.890625,1849,1508,1818,1590
-77,0,0.7421875,2027,0.28125,404,0,0,2312,-0.7890625,-1.65215877071567,1.0625,-0.96875,1841,1508,1816,1581
32,0,0.7734375,2057,0.28125,396,0,0,2367,-0.7265625,-1.65165328521951,1.09375,-0.859375,1846,1500,1812,1578
32,0,0.7265625,2168,0.28125,396,0,0,2521,-0.7578125,-1.65251337703216,1.1875,-0.921875,1844,1506,1801,1571
10,0,0.7265625,2200,0.28125,388,0,0,2596,-0.6171875,-1.65215111985737,1.21875,-0.90625,1865,1536,1839,1605
-82,-0.0999999999999996,0.71875,2227,0.26171875,380,0,0,2640,-0.59375,-1.65305347174046,1.140625,-0.953125,1778,1444,1751,1512
-91,0,0.734375,2224,0.26171875,380,0,0,2626,-0.6328125,-1.65309226452489,1.1953125,-0.890625,1829,1491,1802,1568
-91,-0.0999999999999996,0.7578125,2212,0.26171875,368,0,0,2691,-0.7890625,-1.65197548803377,1.140625,-0.9453125,1834,1501,1801,1569
-91,-0.0999999999999996,0.703125,2200,0.26171875,380,0,0,2723,-0.734375,-1.65121327122676,1.140625,-0.890625,1843,1515,1822,1580
-134,-0.0999999999999996,0.7265625,2155,0.26171875,375,350,0,2735,-0.8046875,-1.6502295828476,1.2109375,-0.9921875,1847,1512,1825,1587
-125,-0.0999999999999996,0.6953125,2134,0.24609375,390,0,0,2697,-0.78125,-1.64895723049375,1.1796875,-0.9140625,1851,1511,1815,1583
-125,-0.199999999999999,0.6875,2104,0.24609375,390,0,0,2733,-0.796875,-1.64750082106337,1.109375,-0.9765625,1855,1526,1825,1592
-125,-0.0999999999999996,0.765625,2102,0.24609375,390,0,0,2708,-0.8203125,-1.64706999841693,1.09375,-0.8984375,1842,1514,1826,1581
-120,-0.0999999999999996,0.7265625,2130,0.24609375,390,350,0,2764,-0.6796875,-1.64704582838282,1.15625,-0.953125,1844,1519,1822,1590
-107,-0.0999999999999996,0.703125,2164,0.24609375,396,0,0,2744,-0.6796875,-1.64626107482123,1.1875,-0.9453125,1837,1511,1814,1583
-107,0,0.71875,2169,0.2265625,368,0,0,2774,-0.71875,-1.64473719835615,1.140625,-0.9453125,1842,1510,1812,1578
-107,0,0.734375,2156,0.2265625,368,0,0,2770,-0.625,-1.6432092099623,1.1640625,-0.921875,1843,1525,1826,1587
-82,-0.0999999999999996,0.7265625,2171,0.2265625,380,0,0,2814,-0.6484375,-1.64183183224431,1.0703125,-0.953125,1839,1510,1812,1575
-82,0,0.6953125,2156,0.2265625,388,0,0,2792,-0.734375,-1.64179602747164,1.171875,-0.8359375,1837,1502,1805,1571
-82,0,0.7734375,2183,0.2265625,380,320,0,2805,-0.765625,-1.64082018019614,1.15625,-0.9296875,1836,1511,1817,1585
-82,0,0.734375,2178,0.21875,360,0,0,2811,-0.7734375,-1.63799713330834,1.0390625,-0.90625,1835,1508,1805,1571
-112,0,0.7578125,2167,0.21875,360,0,0,2804,-0.7421875,-1.63514891877184,1.125,-0.9453125,1822,1494,1793,1562
-99,0,0.734375,2149,0.21875,368,0,0,2827,-0.7421875,-1.6328180322852,1.1640625,-0.859375,1831,1503,1799,1562
-99,0,0.7734375,2131,0.21875,360,0,0,2752,-0.8125,-1.63046496133652,1.140625,-0.921875,1841,1511,1812,1577
-98,0,0.7734375,2124,0.21875,368,0,0,2767,-0.8125,-1.63014201261656,1.0859375,-0.8671875,1835,1506,1808,1573
-97,0,0.7421875,2115,0.21484375,368,0,0,2758,-0.7734375,-1.62987848282087,1.1796875,-0.953125,1826,1499,1793,1573
-62,0.100000000000001,0.8203125,2108,0.21484375,380,0,0,2783,-0.6953125,-1.63152371484468,1.1171875,-0.8515625,1819,1494,1794,1565
-62,0,0.7890625,2092,0.21484375,360,0,0,2755,-0.7109375,-1.6332666936785,1.1484375,-0.8671875,1828,1498,1802,1564
-62,-0.0999999999999996,0.78125,2102,0.21484375,368,0,0,2755,-0.6640625,-1.63426865491822,1.125,-0.859375,1813,1494,1791,1559
